Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,
LP002194,Female,No,0.0,Graduate,Yes,15759.0,0.0,55.0,360.0,1.0,Semiurban,Y,
LP002197,Male,Yes,2.0,Graduate,No,5185.0,0.0,155.0,360.0,1.0,Semiurban,Y,
LP002201,Male,Yes,2.0,Graduate,Yes,9323.0,7873.0,380.0,300.0,1.0,Rural,Y,
LP002205,Male,No,1.0,Graduate,No,3062.0,1987.0,111.0,180.0,0.0,Urban,N,
LP002209,Female,No,0.0,Graduate,2764.0,1459.0,110.0,360.0,1.0,Urban,Y,
LP002211,Male,Yes,0.0,Graduate,No,4817.0,923.0,120.0,180.0,1.0,Urban,Y,
LP002219,Male,Yes,3+,Graduate,No,8750.0,4996.0,130.0,360.0,1.0,Rural,Y,
LP002223,Male,Yes,0.0,Graduate,No,4310.0,0.0,130.0,360.0,Semiurban,Y,
LP002224,Male,No,0.0,Graduate,No,3069.0,0.0,71.0,480.0,1.0,Urban,N,
LP002225,Male,Yes,2.0,Graduate,No,5391.0,0.0,130.0,360.0,1.0,Urban,Y,
LP002226,Male,Yes,0.0,Graduate,3333.0,2500.0,128.0,360.0,1.0,Semiurban,Y,
LP002229,Male,No,0.0,Graduate,No,5941.0,4232.0,296.0,360.0,1.0,Semiurban,Y,
LP002231,Female,No,0.0,Graduate,No,6000.0,0.0,156.0,360.0,1.0,Urban,Y,
LP002234,Male,No,0.0,Graduate,Yes,7167.0,0.0,128.0,360.0,1.0,Urban,Y,
LP002236,Male,Yes,2.0,Graduate,No,4566.0,0.0,100.0,360.0,1.0,Urban,N,
LP002237,Male,No,1.0,Graduate,3667.0,0.0,113.0,180.0,1.0,Urban,Y,
LP002239,Male,No,0.0,Not Graduate,No,2346.0,1600.0,132.0,360.0,1.0,Semiurban,Y,
LP002243,Male,Yes,0.0,Not Graduate,No,3010.0,3136.0,360.0,0.0,Urban,N,
LP002244,Male,Yes,0.0,Graduate,No,2333.0,2417.0,136.0,360.0,1.0,Urban,Y,
LP002250,Male,Yes,0.0,Graduate,No,5488.0,0.0,125.0,360.0,1.0,Rural,Y,
LP002255,Male,No,3+,Graduate,No,9167.0,0.0,185.0,360.0,1.0,Rural,Y,
LP002262,Male,Yes,3+,Graduate,No,9504.0,0.0,275.0,360.0,1.0,Rural,Y,
LP002263,Male,Yes,0.0,Graduate,No,2583.0,2115.0,120.0,360.0,Urban,Y,
LP002265,Male,Yes,2.0,Not Graduate,No,1993.0,1625.0,113.0,180.0,1.0,Semiurban,Y,
LP002266,Male,Yes,2.0,Graduate,No,3100.0,1400.0,113.0,360.0,1.0,Urban,Y,
LP002272,Male,Yes,2.0,Graduate,No,3276.0,484.0,135.0,360.0,Semiurban,Y,
LP002277,Female,No,0.0,Graduate,No,3180.0,0.0,71.0,360.0,0.0,Urban,N,
LP002281,Male,Yes,0.0,Graduate,No,3033.0,1459.0,95.0,360.0,1.0,Urban,Y,
LP002284,Male,No,0.0,Not Graduate,No,3902.0,1666.0,109.0,360.0,1.0,Rural,Y,
LP002287,Female,No,0.0,Graduate,No,1500.0,1800.0,103.0,360.0,0.0,Semiurban,N,
LP002288,Male,Yes,2.0,Not Graduate,No,2889.0,0.0,45.0,180.0,0.0,Urban,N,
LP002296,Male,No,0.0,Not Graduate,No,2755.0,0.0,65.0,300.0,1.0,Rural,N,
LP002297,Male,No,0.0,Graduate,No,2500.0,20000.0,103.0,360.0,1.0,Semiurban,Y,
LP002300,Female,No,0.0,Not Graduate,No,1963.0,0.0,53.0,360.0,1.0,Semiurban,Y,
LP002301,Female,No,0.0,Graduate,Yes,7441.0,0.0,194.0,360.0,1.0,Rural,N,
LP002305,Female,No,0.0,Graduate,No,4547.0,0.0,115.0,360.0,1.0,Semiurban,Y,
LP002308,Male,Yes,0.0,Not Graduate,No,2167.0,2400.0,115.0,360.0,1.0,Urban,Y,
LP002314,Female,No,0.0,Not Graduate,No,2213.0,0.0,66.0,360.0,1.0,Rural,Y,
LP002315,Male,Yes,1.0,Graduate,No,8300.0,0.0,152.0,300.0,0.0,Semiurban,N,
LP002317,Male,Yes,3+,Graduate,No,81000.0,0.0,360.0,360.0,0.0,Rural,N,
LP002318,Female,No,1.0,Not Graduate,Yes,3867.0,0.0,62.0,360.0,1.0,Semiurban,N,
LP002319,Male,Yes,0.0,Graduate,6256.0,0.0,160.0,360.0,Urban,Y,
LP002328,Male,Yes,0.0,Not Graduate,No,6096.0,0.0,218.0,360.0,0.0,Rural,N,
LP002332,Male,Yes,0.0,Not Graduate,No,2253.0,2033.0,110.0,360.0,1.0,Rural,Y,
LP002335,Female,Yes,0.0,Not Graduate,No,2149.0,3237.0,178.0,360.0,0.0,Semiurban,N,
LP002337,Female,No,0.0,Graduate,No,2995.0,0.0,60.0,360.0,1.0,Urban,Y,
LP002341,Female,No,1.0,Graduate,No,2600.0,0.0,160.0,360.0,1.0,Urban,N,
LP002342,Male,Yes,2.0,Graduate,Yes,1600.0,20000.0,239.0,360.0,1.0,Urban,N,
LP002345,Male,Yes,0.0,Graduate,No,1025.0,2773.0,112.0,360.0,1.0,Rural,Y,
LP002347,Male,Yes,0.0,Graduate,No,3246.0,1417.0,138.0,360.0,1.0,Semiurban,Y,
LP002348,Male,Yes,0.0,Graduate,No,5829.0,0.0,138.0,360.0,1.0,Rural,Y,
LP002357,Female,No,0.0,Not Graduate,No,2720.0,0.0,80.0,0.0,Urban,N,
LP002361,Male,Yes,0.0,Graduate,No,1820.0,1719.0,100.0,360.0,1.0,Urban,Y,
